fecha,año,mes,precipitacion_mm
1971-11-01,1971,11,147.30528149461244
1971-12-01,1971,12,178.4932459961339
1972-01-01,1972,1,174.2000424052812
1972-02-01,1972,2,231.43539347987976
1972-03-01,1972,3,364.1167868368391
1972-04-01,1972,4,179.0069870914889
1972-05-01,1972,5,102.52280889248038
1972-06-01,1972,6,81.55854446963463
1972-07-01,1972,7,85.82412195119028
1972-08-01,1972,8,61.25645520866496
1972-09-01,1972,9,62.678217776946184
1972-10-01,1972,10,67.89983796122698
1972-11-01,1972,11,131.8819452343691
1972-12-01,1972,12,153.27742951917926
1973-01-01,1973,1,242.196866325861
1973-02-01,1973,2,225.8021461868606
1973-03-01,1973,3,258.5140863113201
1973-04-01,1973,4,240.54738848756077
1973-05-01,1973,5,189.5099398659941
1973-06-01,1973,6,96.50481632024795
1973-07-01,1973,7,94.19783530086737
1973-08-01,1973,8,80.41252475560827
1973-09-01,1973,9,107.12789204926703
1973-10-01,1973,10,77.42007201801431
1973-11-01,1973,11,114.18395181430861
1973-12-01,1973,12,100.37803188043647
1974-01-01,1974,1,145.333362353048
1974-02-01,1974,2,261.3467167009458
1974-03-01,1974,3,232.73307966900143
1974-04-01,1974,4,162.86272141307992
1974-05-01,1974,5,87.75853843414794
1974-06-01,1974,6,73.85411167385668
1974-07-01,1974,7,87.167822541213
1974-08-01,1974,8,83.1837485025924
1974-09-01,1974,9,97.2332683362181
1974-10-01,1974,10,159.252705518093
1974-11-01,1974,11,147.02084751133492
1974-12-01,1974,12,132.33308069154097
1975-01-01,1975,1,169.07947755322886
1975-02-01,1975,2,276.15210955059956
1975-03-01,1975,3,428.5077936710692
1975-04-01,1975,4,237.12797098599137
1975-05-01,1975,5,136.8639732805203
1975-06-01,1975,6,98.59697422479132
1975-07-01,1975,7,75.48391785842196
1975-08-01,1975,8,88.07018319992444
1975-09-01,1975,9,78.93687592764478
1975-10-01,1975,10,118.77558388655409
1975-11-01,1975,11,107.84759546947835
1975-12-01,1975,12,79.91375182135475
1976-01-01,1976,1,255.58165011715948
1976-02-01,1976,2,264.28096101655984
1976-03-01,1976,3,291.4891676219486
1976-04-01,1976,4,186.54321594742075
1976-05-01,1976,5,160.0985405525558
1976-06-01,1976,6,110.27697004111882
1976-07-01,1976,7,53.009167387475394
1976-08-01,1976,8,68.56437921312431
1976-09-01,1976,9,93.5047048134642
1976-10-01,1976,10,91.76573879698856
1976-11-01,1976,11,116.53064476323738
1976-12-01,1976,12,149.951178307114
1977-01-01,1977,1,195.06405602329724
1977-02-01,1977,2,230.413084077633
1977-03-01,1977,3,265.54273942676014
1977-04-01,1977,4,165.7563270519492
1977-05-01,1977,5,102.9430260855881
1977-06-01,1977,6,95.78311987624907
1977-07-01,1977,7,50.60005086469972
1977-08-01,1977,8,62.107052372245136
1977-09-01,1977,9,73.47414776085766
1977-10-01,1977,10,103.23757407499706
1977-11-01,1977,11,113.66317762260742
1977-12-01,1977,12,144.40092467033728
1978-01-01,1978,1,96.61109113289069
1978-02-01,1978,2,189.16948793297433
1978-03-01,1978,3,180.20585193456117
1978-04-01,1978,4,168.62353418168536
1978-05-01,1978,5,114.45112905760315
1978-06-01,1978,6,58.07546428169149
1978-07-01,1978,7,59.426352220471834
1978-08-01,1978,8,48.398045851452004
1978-09-01,1978,9,73.63683023079011
1978-10-01,1978,10,81.43960866931859
1978-11-01,1978,11,123.87543610279329
1978-12-01,1978,12,170.0006920375174
1979-01-01,1979,1,147.2627017197627
1979-02-01,1979,2,160.75381433255887
1979-03-01,1979,3,226.36344271986638
1979-04-01,1979,4,160.93516380959605
1979-05-01,1979,5,107.26932161999575
1979-06-01,1979,6,78.25831157163924
1979-07-01,1979,7,64.79719282881699
1979-08-01,1979,8,65.45982466946373
1979-09-01,1979,9,87.73477694054961
1979-10-01,1979,10,92.21366120513429
1979-11-01,1979,11,67.76630787601758
1979-12-01,1979,12,95.91015318985431
1980-01-01,1980,1,133.67793937437114
1980-02-01,1980,2,167.73121153381834
1980-03-01,1980,3,166.59160424241213
1980-04-01,1980,4,183.32259818274525
1980-05-01,1980,5,99.5688932318433
1980-06-01,1980,6,61.301494518001036
1980-07-01,1980,7,56.330441994318825
1980-08-01,1980,8,60.39672587598515
1980-09-01,1980,9,82.98851613733913
1980-10-01,1980,10,142.2272049734164
1980-11-01,1980,11,136.2530797983465
1980-12-01,1980,12,125.362134565548
1981-01-01,1981,1,115.80752639970584
1981-02-01,1981,2,289.6236306676238
1981-03-01,1981,3,242.05756629024026
1981-04-01,1981,4,188.04429586251786
1981-05-01,1981,5,103.05739668285582
1981-06-01,1981,6,101.17529595359626
1981-07-01,1981,7,51.008966722614296
1981-08-01,1981,8,60.056876467619915
1981-09-01,1981,9,66.10426218960808
1981-10-01,1981,10,123.48570831127385
1981-11-01,1981,11,104.13347159469849
1981-12-01,1981,12,155.9649485937171
1982-01-01,1982,1,147.7145366113409
1982-02-01,1982,2,204.76613058112818
1982-03-01,1982,3,207.92834568480026
1982-04-01,1982,4,181.0279440960079
1982-05-01,1982,5,122.03557021935774
1982-06-01,1982,6,59.09804248285271
1982-07-01,1982,7,57.34464446791717
1982-08-01,1982,8,54.57673079296049
1982-09-01,1982,9,93.38171091500453
1982-10-01,1982,10,173.0238134020054
1982-11-01,1982,11,179.83475322312702
1982-12-01,1982,12,367.67021806184897
1983-01-01,1983,1,457.74791669037023
1983-02-01,1983,2,355.48497390858836
1983-03-01,1983,3,446.3737597880578
1983-04-01,1983,4,414.13045026787677
1983-05-01,1983,5,273.24625508656703
1983-06-01,1983,6,149.04136071566546
1983-07-01,1983,7,78.16986687183699
1983-08-01,1983,8,65.92695288125844
1983-09-01,1983,9,89.01099459810031
1983-10-01,1983,10,144.03450321870687
1983-11-01,1983,11,133.33394399315017
1983-12-01,1983,12,187.97222818426383
1984-01-01,1984,1,139.02279865336152
1984-02-01,1984,2,331.6601040301521
1984-03-01,1984,3,247.1314523970604
1984-04-01,1984,4,228.5468799246847
1984-05-01,1984,5,135.29784602364316
1984-06-01,1984,6,103.61285224751087
1984-07-01,1984,7,72.30352943683113
1984-08-01,1984,8,67.84871348678837
1984-09-01,1984,9,96.99964915523412
1984-10-01,1984,10,115.63218580052606
1984-11-01,1984,11,104.12293347598226
1984-12-01,1984,12,156.3172991018713
1985-01-01,1985,1,137.03609752208013
1985-02-01,1985,2,153.43946081817677
1985-03-01,1985,3,172.6526234992519
1985-04-01,1985,4,167.36519565946912
1985-05-01,1985,5,139.67495972925434
1985-06-01,1985,6,76.27719543673311
1985-07-01,1985,7,66.72700928295727
1985-08-01,1985,8,77.01364220816163
1985-09-01,1985,9,91.90558625835847
1985-10-01,1985,10,97.53699104318139
1985-11-01,1985,11,95.46427746437003
1985-12-01,1985,12,139.3923753742999
1986-01-01,1986,1,262.41709270256797
1986-02-01,1986,2,209.51664574367013
1986-03-01,1986,3,189.5985093615256
1986-04-01,1986,4,248.64517606628976
1986-05-01,1986,5,110.86157955141483
1986-06-01,1986,6,60.325176887269656
1986-07-01,1986,7,73.18344888960499
1986-08-01,1986,8,67.39803867386604
1986-09-01,1986,9,101.34587973553633
1986-10-01,1986,10,149.3416808345857
1986-11-01,1986,11,113.6146596852606
1986-12-01,1986,12,176.89512297267845
1987-01-01,1987,1,275.4137791670676
1987-02-01,1987,2,291.88887356070813
1987-03-01,1987,3,315.93115089183357
1987-04-01,1987,4,216.41494051209332
1987-05-01,1987,5,118.44860938980503
1987-06-01,1987,6,79.52075496235892
1987-07-01,1987,7,69.0775357925771
1987-08-01,1987,8,74.01629776843762
1987-09-01,1987,9,88.07768885914776
1987-10-01,1987,10,133.40180896818134
1987-11-01,1987,11,134.75462449257375
1987-12-01,1987,12,127.20994637458959
1988-01-01,1988,1,220.34540184032804
1988-02-01,1988,2,238.51537393687343
1988-03-01,1988,3,143.1473868571493
1988-04-01,1988,4,200.0956631498152
1988-05-01,1988,5,140.78060106861653
1988-06-01,1988,6,62.22212989190559
1988-07-01,1988,7,64.7985495406979
1988-08-01,1988,8,46.3853531536647
1988-09-01,1988,9,79.8517940739986
1988-10-01,1988,10,119.02108480090781
1988-11-01,1988,11,163.38998508374533
1988-12-01,1988,12,141.2187222619203
1989-01-01,1989,1,262.30721263180436
1989-02-01,1989,2,347.0801121361095
1989-03-01,1989,3,228.73349097872023
1989-04-01,1989,4,214.69221939827656
1989-05-01,1989,5,111.8167824744645
1989-06-01,1989,6,89.24684675702413
1989-07-01,1989,7,66.12684150745618
1989-08-01,1989,8,69.89159335979797
1989-09-01,1989,9,93.65388356810217
1989-10-01,1989,10,156.72847199716298
1989-11-01,1989,11,78.48802692521633
1989-12-01,1989,12,51.39309783941229
1990-01-01,1990,1,169.9947669460498
1990-02-01,1990,2,189.6803696847315
1990-03-01,1990,3,190.3800152215192
1990-04-01,1990,4,188.87738363164354
1990-05-01,1990,5,102.48767104432272
1990-06-01,1990,6,108.50862676918926
1990-07-01,1990,7,66.9508428222997
1990-08-01,1990,8,52.49330682768123
1990-09-01,1990,9,69.8816327054747
1990-10-01,1990,10,116.4643677163437
1990-11-01,1990,11,131.2751872802585
1990-12-01,1990,12,128.23703543462972
1991-01-01,1991,1,137.0490098754378
1991-02-01,1991,2,217.89637201932192
1991-03-01,1991,3,273.13534162750557
1991-04-01,1991,4,174.7834280008494
1991-05-01,1991,5,132.30692012724316
1991-06-01,1991,6,94.24477678679217
1991-07-01,1991,7,60.8137826991586
1991-08-01,1991,8,56.25583874422717
1991-09-01,1991,9,95.64970326207613
1991-10-01,1991,10,113.57129947644515
1991-11-01,1991,11,125.30348826225907
1991-12-01,1991,12,161.0546359855497
1992-01-01,1992,1,198.2726699526928
1992-02-01,1992,2,231.94741978411776
1992-03-01,1992,3,366.9719799738611
1992-04-01,1992,4,325.57014351479796
1992-05-01,1992,5,151.74462948626305
1992-06-01,1992,6,76.47356200763687
1992-07-01,1992,7,72.20800026887231
1992-08-01,1992,8,62.15221128785288
1992-09-01,1992,9,91.2250085941087
1992-10-01,1992,10,94.7395700163776
1992-11-01,1992,11,107.28519222985491
1992-12-01,1992,12,130.32705344314851
1993-01-01,1993,1,188.09543188820382
1993-02-01,1993,2,315.78527423300363
1993-03-01,1993,3,361.6523492043642
1993-04-01,1993,4,260.7204403906067
1993-05-01,1993,5,134.36643746630264
1993-06-01,1993,6,78.93594105642893
1993-07-01,1993,7,76.01240914075755
1993-08-01,1993,8,63.76579533059811
1993-09-01,1993,9,98.02128327497807
1993-10-01,1993,10,134.13841753889778
1993-11-01,1993,11,126.08715188923928
1993-12-01,1993,12,169.07291360051678
1994-01-01,1994,1,258.48708117781797
1994-02-01,1994,2,289.08257211814384
1994-03-01,1994,3,281.30818652868504
1994-04-01,1994,4,260.09934785971234
1994-05-01,1994,5,135.47230366206588
1994-06-01,1994,6,101.47121695659418
1994-07-01,1994,7,87.77387124604941
1994-08-01,1994,8,67.18526042693146
1994-09-01,1994,9,93.57122421497476
1994-10-01,1994,10,101.40658305946145
1994-11-01,1994,11,131.19813108519514
1994-12-01,1994,12,178.18568319381808
1995-01-01,1995,1,154.20630709757344
